age,annual_income,loan_amount,loan_term_months,credit_score,existing_loans_count,debt_to_income_ratio,credit_utilization,missed_payments_last_12m,employment_years,employment_type,monthly_installment,installment_to_income_ratio,default
59,23927.11,15703.24,12,532.0,1,0.188,0.707,0,15.8,salaried,1308.6,0.656,1
49,28892.39,7603.1,12,758.0,2,0.338,0.122,0,9.6,salaried,633.59,0.263,0
35,39495.35,10355.02,60,760.0,2,0.309,0.635,0,10.5,business_owner,172.58,0.052,0
63,107184.82,39889.68,24,475.0,2,0.083,0.01,0,13.3,salaried,1662.07,0.186,0
28,43331.05,18026.85,24,438.0,2,0.417,0.71,2,26.2,salaried,751.12,0.208,1
41,38782.16,10896.22,24,614.0,1,0.14,0.765,0,16.5,self_employed,454.01,0.14,0
59,21231.85,17402.42,36,734.0,0,0.238,0.815,0,24.2,salaried,483.4,0.273,0
39,35300.68,15687.17,60,513.0,2,0.719,0.626,0,25.5,salaried,261.45,0.089,1
43,26463.77,8073.45,12,467.0,1,0.471,0.181,0,7.4,salaried,672.79,0.305,1
31,29685.38,10707.66,24,656.0,0,0.367,0.794,0,23.3,salaried,446.15,0.18,0
31,52050.79,51674.6,60,707.0,3,0.208,0.9,0,19.5,business_owner,861.24,0.199,0
44,40111.48,16902.24,12,589.0,0,0.786,0.634,0,15.2,salaried,1408.52,0.421,0
56,114662.38,5211.25,36,596.0,3,0.818,0.275,0,2.7,business_owner,144.76,0.015,0
60,84036.09,18144.56,48,706.0,1,0.491,0.179,0,17.2,business_owner,378.01,0.054,0
44,36154.55,29197.93,12,572.0,1,0.833,0.231,0,4.7,salaried,2433.16,0.808,0
23,30995.31,7764.93,12,578.0,2,0.445,0.017,0,24.5,salaried,647.08,0.251,0
42,97862.72,10156.76,12,675.0,1,0.141,0.01,1,28.0,salaried,846.4,0.104,0
22,112422.71,31960.71,48,685.0,1,0.064,0.297,1,14.3,salaried,665.85,0.071,0
44,16364.6,13642.53,24,630.0,1,0.159,0.923,0,13.2,self_employed,568.44,0.417,1
64,51350.44,12262.16,48,784.0,1,0.579,0.621,0,14.7,self_employed,255.46,0.06,0
50,43220.1,5993.11,12,717.0,2,0.323,0.386,2,2.0,business_owner,499.43,0.139,1
58,67816.45,25395.82,36,618.0,0,0.601,0.011,3,7.1,business_owner,705.44,0.125,1
22,129486.78,11931.28,12,534.0,1,0.482,0.99,1,28.2,salaried,994.27,0.092,1
